country_origin,year,refugee_number,idp_number
Afghanistan,2001,3809763,1200000
Afghanistan,2002,2510294,665156
Afghanistan,2003,2136039,184269
Afghanistan,2004,2414460,159549
Afghanistan,2005,2166139,142505
Afghanistan,2006,2107510,129310
Afghanistan,2007,3057655,153718
Afghanistan,2008,2833117,230670
Afghanistan,2009,2887114,297129
Afghanistan,2010,3054699,351907
Afghanistan,2011,2664423,447547
Afghanistan,2012,2586132,486298
Afghanistan,2013,2556483,631286
Afghanistan,2014,2596259,805409
Afghanistan,2015,2666294,1174306
Afghanistan,2016,2501447,1797551
Afghanistan,2017,2624265,1837079
Afghanistan,2018,2681267,2106893
Afghanistan,2019,2727556,2553390
Afghanistan,2020,2594826,2886317
Afghanistan,2021,2610067,3204805
