iso,name,lat,lon,ref,asy,oip,total
AFG,Afghanistan,33.91670746,66.06593942,2840672,270533,0,3111205
AGO,Angola,-12.39232851,17.5749201,11684,13991,0,25675
ALB,Albania,41.15474955,20.06738391,20263,24519,0,44782
ARG,Argentina,-36.31301214,-65.38050053,164,2075,0,2239
ARM,Armenia,40.29352119,44.94264231,14446,10528,0,24974
AZE,Azerbaijan,40.36647779,47.65930692,41632,5324,0,46956
BDI,Burundi,-3.356573381,29.88709732,318980,52391,0,371371
BEN,Benin,9.657555807,2.34374885,784,1352,0,2136
BFA,Burkina Faso,12.28600386,-1.736868087,29116,23244,0,52360
BGD,Bangladesh,23.89311004,90.24891502,23388,67080,0,90468
BHS,Bahamas,24.70200669,-78.04063908,628,877,0,1505
BIH,Bosnia and Herzegovina,44.1776138,17.78340489,18176,1401,0,19577
BLR,Belarus,53.58691222,28.05591569,8920,7231,0,16151
BOL,Bolivia (Plurinational State of),-16.78265491,-64.66489316,562,1805,0,2367
BRA,Brazil,-11.23342829,-53.04890275,2271,35297,0,37568
BTN,Bhutan,27.41738078,90.4292674,6704,469,0,7173
CAF,Central African Rep.,7.008834374,20.939305,737883,14094,0,751977
CHL,Chile,-37.66632188,-71.43251712,1238,9991,0,11229
CHN,China,32.82547558,104.19426,164342,116868,0,281210
CIV,Cote d'Ivoire,7.639376794,-5.555811084,29593,22019,0,51612
CMR,Cameroon,5.703826495,12.74653658,138249,21688,0,159937
COD,Dem. Rep. of the Congo,-2.9035367500000002,23.65872018,909850,142253,0,1052103
COG,Congo,-0.842182729,15.22357639,14152,12705,0,26857
COL,Colombia,3.922030023,-73.07390625,116150,104195,0,220345
COM,Comoros,-11.66591728,43.34127392,1739,1425,0,3164
CRI,Costa Rica,9.972132742,-84.18904374,256,1090,0,1346
CUB,Cuba,22.09967767,-79.542095,12324,107904,0,120228
DJI,Djibouti,11.57392452,42.1749975,1690,1040,0,2730
DOM,Dominican Rep.,18.89852025,-70.489848,665,5273,0,5938
DZA,Algeria,28.42454646,2.629147599,7129,7247,0,14376
ECU,Ecuador,-1.450100143,-78.38642933,2377,34670,0,37047
EGY,Egypt,26.66372355,29.76735186,25222,24173,0,49395
ERI,Eritrea,16.11358177,38.112805,501677,76071,0,577748
ESH,Western Sahara,24.70553113,-13.11413985,116938,671,0,117609
ETH,Ethiopia,8.663576401,39.61144934,151843,144204,0,296047
FJI,Fiji,-17.82567466,177.9736036,368,3173,0,3541
GAB,Gabon,-0.591383428,11.79874793,674,723,0,1397
GEO,Georgia,42.058960570000004,43.356895,11924,20789,0,32713
GHA,Ghana,7.970260785,-1.207218919,14877,9464,0,24341
GIN,Guinea,11.04645941,-11.3671,36026,25163,0,61189
GMB,Gambia,13.28509531,-16.065905,11315,5083,0,16398
GNB,Guinea-Bissau,12.12477253,-14.41236,2049,2384,0,4433
GTM,Guatemala,15.01038024,-91.2387675,28421,162785,0,191206
GUY,Guyana,4.799295335,-58.97582638,228,874,0,1102
HND,Honduras,14.81983397,-86.61817983,57492,181038,0,238530
HRV,Croatia,45.43500378,17.9449475,17867,56,0,17923
HTI,Haiti,18.40224638,-72.3388325,28981,147576,0,176557
HUN,Hungary,47.17835346,19.42180077,1952,762,0,2714
IDN,Indonesia,-0.98669933,113.927255,13687,6352,0,20039
IND,India,22.62430528,79.37062589,17001,82125,0,99126
IRN,Iran (Islamic Rep. of),32.76632508,54.21741263,142346,64937,0,207283
IRQ,Iraq,33.11810265,43.75752596,345305,240468,0,585773
ISR,Israel,31.07122186,34.6209625,582,900,0,1482
JAM,Jamaica,18.15168353,-77.31923011,1848,2738,0,4586
JOR,Jordan,30.66077271,37.130765,3257,5954,0,9211
KAZ,Kazakhstan,48.4399544,67.3337421,3583,6261,0,9844
KEN,Kenya,0.531440624,37.85687331,7630,10168,0,17798
KGZ,Kyrgyzstan,41.48607125,74.57164588,3257,3025,0,6282
KHM,Cambodia,12.72220898,104.9248198,11666,826,0,12492
KOR,Rep. of Korea,36.46830349,127.8700933,124,917,0,1041
KWT,Kuwait,29.52245536,47.48176,1793,2146,0,3939
LAO,Lao People's Dem. Rep.,20.29947206,101.9923325,6635,495,0,7130
LBN,Lebanon,33.92318442,35.88925194,6506,9107,0,15613
LBR,Liberia,6.450757461,-9.309038226,5136,3030,0,8166
LBY,Libya,27.16812836,17.99577177,17934,5570,0,23504
LKA,Sri Lanka,7.608058576,80.70628883,144757,13220,0,157977
MAR,Morocco,31.94700306,-6.279680805,8523,13700,0,22223
MDA,Rep. of Moldova,47.20820225,28.46958895,3620,6412,0,10032
MEX,Mexico,24.18661324,-102.6920954,16224,115723,0,131947
MKD,The former Yugoslav Rep. of Macedonia,41.60261503,21.69818855,1901,3288,0,5189
MLI,Mali,17.44941963,-3.501298766,200471,21371,0,221842
MMR,Myanmar,21.32186612,96.51128458,1209086,50005,0,1259091
MNE,Montenegro,42.7943052,19.25045959,616,865,0,1481
MNG,Mongolia,46.97174578,103.0450709,2412,4657,0,7069
MOZ,Mozambique,-14.30239003,38.1878375,104,8754,0,8858
MRT,Mauritania,20.34767222,-10.31933209,36785,8352,0,45137
MWI,Malawi,-13.39431602,33.491645,531,1975,0,2506
MYS,Malaysia,2.878727097,114.41158,1253,20785,0,22038
NAM,Namibia,-22.2482997,17.2256359,281,1178,0,1459
NER,Niger,17.48850584,9.425226473,17280,3764,0,21044
NGA,Nigeria,9.617983559,8.110312577,400633,88084,0,488717
NIC,Nicaragua,12.84573444,-85.03407398,12481,224502,0,236983
NPL,Nepal,28.26547331,83.92298736,7362,11683,0,19045
PAK,Pakistan,29.48608163,68.84938606,123218,58244,0,181462
PER,Peru,-13.61888342,-71.8442125,3848,14482,0,18330
PHL,Philippines,14.16161963,120.8636725,546,5539,0,6085
PNG,Papua New Guinea,-6.629601223,144.2721818,531,618,0,1149
POL,Poland,52.1873264,19.38647048,953,1025,0,1978
PRY,Paraguay,-23.28507214,-58.36935304,138,1101,0,1239
PSE,State of Palestine,31.948223809999998,35.25653742,103001,8050,0,111051
ROU,Romania,45.87787255,24.96448014,2283,5238,0,7521
RUS,Russian Federation,64.01244826,100.8240731,75851,49384,0,125235
RWA,Rwanda,-1.998028304,29.91760422,248423,22907,0,271330
SAU,Saudi Arabia,24.28192918,44.4810819,1908,1644,0,3552
SDN,Sudan,16.10796094,29.97488611,844260,83177,0,927437
SEN,Senegal,14.37535123,-14.46972267,13730,18898,0,32628
SLE,Sierra Leone,8.571195641,-11.78420059,6980,5813,0,12793
SLV,El Salvador,13.73739607,-88.86685743,54777,151770,0,206547
SOM,Somalia,4.435863354,46.199965,799145,56879,0,856024
SRB,Serbia and Kosovo: S/RES/1244 (1999),44.05827918,20.79726008,30937,5547,0,36484
SSD,South Sudan,7.307715832,30.30700789,2362756,5272,0,2368028
SYR,Syrian Arab Rep.,35.03794746,38.51530484,6824062,131923,0,6955985
TCD,Chad,15.46899826,18.6692111,12431,7731,0,20162
TGO,Togo,8.542073488,0.974939489,7437,2846,0,10283
THA,Thailand,15.2118337,101.0212626,206,2974,0,3180
TIB,Tibet,31.742151,88.126154,12593,0,0,12593
TJK,Tajikistan,38.33287485,69.3203975,3107,2345,0,5452
TKM,Turkmenistan,39.17675479,59.34641364,1754,808,0,2562
TON,Tonga,-21.19689841,-175.202995,29,978,0,1007
TUN,Tunisia,34.16164605,9.554151662,2479,6722,0,9201
TUR,Turkey,39.02813236,35.44326168,102429,51444,0,153873
TZA,United Rep. of Tanzania,-6.291788492,34.81390689,761,1839,0,2600
UGA,Uganda,1.281135112,32.38643422,7724,12255,0,19979
UKR,Ukraine,49.09696387,31.34888206,5437961,42120,0,5480081
USA,United States of America,40.14245014,-99.29881552,1009,1621,0,2630
UZB,Uzbekistan,41.8277576,63.08746344,3760,6020,0,9780
VEN,Venezuela (Bolivarian Republic of),7.133645737,-66.18536305,211944,1039207,5342069,6593220
VNM,Viet Nam,11.98690882,107.6338225,15654,10496,0,26150
YEM,Yemen,15.2265918,45.2886025,40900,36775,0,77675
ZAF,South Africa,-30.08974368,24.68688,740,3462,0,4202
ZWE,Zimbabwe,-19.02332564,29.87216786,7828,13645,0,21473
